item_name,rank_new_highs,new_highs
perf_cpu_clock_3,1.0,1
perf_task_clock_5,2.0,2
perf_task_clock_4,2.0,2
perf_task_clock_1,2.0,2
weights_5,3.0,3
perf_cpu_clock_4,3.0,3
energy_2,4.0,4
perf_cpu_clock_5,4.0,4
perf_cpu_clock_2,4.0,4
weights_2,4.0,4
perf_cache_misses_2,4.0,4
perf_cpu_clock_1,4.0,4
perf_task_clock_2,5.0,5
perf_time_5,5.0,5
time_4,6.0,6
perf_cache_misses_5,6.0,6
perf_cache_misses_4,6.0,6
perf_cache_misses_3,6.0,6
perf_branch_misses_2,6.0,6
perf_branch_misses_5,6.0,6
perf_task_clock_3,6.0,6
perf_instructions_4,6.0,6
perf_faults_5,6.0,6
energy_5,6.0,6
time_2,6.0,6
perf_L1_dcache_loads_5,7.0,7
perf_instructions_5,7.0,7
perf_branches_5,7.0,7
weights_4,7.0,7
perf_cache_references_4,7.0,7
perf_cache_references_2,7.0,7
perf_faults_2,7.0,7
time_3,7.0,7
perf_cycles_5,8.0,8
perf_branches_1,8.0,8
perf_instructions_2,8.0,8
energy_1,8.0,8
perf_branch_misses_4,8.0,8
perf_branch_misses_3,8.0,8
time_5,8.0,8
perf_cycles_4,8.0,8
perf_cache_references_5,8.0,8
perf_cache_references_3,8.0,8
perf_cycles_3,8.0,8
perf_time_4,8.0,8
perf_faults_4,9.0,9
perf_L1_dcache_loads_3,9.0,9
perf_L1_dcache_loads_2,9.0,9
perf_cycles_1,9.0,9
perf_cycles_2,9.0,9
energy_3,9.0,9
perf_instructions_3,9.0,9
weights_3,10.0,10
perf_faults_3,10.0,10
perf_branches_4,10.0,10
energy_4,10.0,10
perf_time_2,11.0,11
perf_branches_2,11.0,11
perf_instructions_1,11.0,11
perf_faults_1,11.0,11
perf_cache_misses_1,11.0,11
perf_branches_3,11.0,11
perf_time_3,11.0,11
weights_1,12.0,12
perf_L1_dcache_loads_1,13.0,13
perf_L1_dcache_loads_4,13.0,13
perf_branch_misses_1,14.0,14
time_1,15.0,15
perf_cache_references_1,16.0,16
perf_time_1,16.0,16
