item_name,rank_new_highs,new_highs
perf_task_clock_2,1.0,2
perf_task_clock_1,1.0,2
perf_cpu_clock_5,1.0,2
perf_cpu_clock_4,1.0,2
perf_cpu_clock_2,1.0,2
perf_cpu_clock_1,1.0,2
weights_5,2.0,3
perf_cpu_clock_3,2.0,3
perf_branch_misses_4,2.0,3
perf_cache_misses_4,2.0,3
time_5,2.0,3
perf_L1_dcache_loads_5,2.0,3
time_4,2.0,3
perf_time_4,3.0,4
perf_time_3,3.0,4
perf_branches_4,3.0,4
time_3,3.0,4
perf_instructions_4,3.0,4
perf_time_5,3.0,4
time_2,3.0,4
perf_cache_references_5,3.0,4
perf_task_clock_4,3.0,4
perf_faults_5,3.0,4
perf_cache_misses_3,3.0,4
energy_4,3.0,4
perf_task_clock_5,4.0,5
perf_faults_4,4.0,5
perf_cache_misses_5,4.0,5
perf_L1_dcache_loads_1,4.0,5
perf_L1_dcache_loads_3,4.0,5
energy_5,4.0,5
perf_branch_misses_5,5.0,6
energy_1,5.0,6
perf_instructions_5,5.0,6
weights_3,5.0,6
weights_4,5.0,6
perf_L1_dcache_loads_4,5.0,6
perf_instructions_2,5.0,6
perf_branches_5,5.0,6
perf_faults_2,5.0,6
perf_cache_references_4,5.0,6
energy_2,5.0,6
perf_faults_1,5.0,6
perf_faults_3,5.0,6
perf_task_clock_3,5.0,6
perf_cycles_3,5.0,6
perf_cache_misses_2,6.0,7
perf_branches_3,6.0,7
perf_L1_dcache_loads_2,6.0,7
perf_branch_misses_3,6.0,7
energy_3,6.0,7
perf_branches_2,6.0,7
perf_cache_misses_1,6.0,7
weights_2,7.0,8
perf_instructions_3,7.0,8
perf_cycles_5,7.0,8
perf_cache_references_3,7.0,8
time_1,8.0,9
perf_cycles_4,8.0,9
perf_time_1,9.0,10
perf_cache_references_2,9.0,10
perf_cycles_2,9.0,10
weights_1,10.0,11
perf_cache_references_1,10.0,11
perf_branch_misses_2,10.0,11
perf_instructions_1,11.0,12
perf_time_2,11.0,12
perf_branches_1,12.0,13
perf_cycles_1,13.0,14
perf_branch_misses_1,13.0,14
