item_name,rank_new_highs,new_highs
perf_cache_misses_4,1.0,0
time_3,2.0,1
perf_faults_2,3.0,2
perf_cpu_clock_1,3.0,2
perf_faults_1,3.0,2
weights_3,3.0,2
perf_cache_misses_2,4.0,3
perf_cache_misses_1,4.0,3
perf_cache_references_5,4.0,3
perf_cache_references_3,4.0,3
perf_faults_3,4.0,3
energy_5,4.0,3
weights_2,4.0,3
weights_4,4.0,3
time_5,4.0,3
weights_5,4.0,3
weights_1,4.0,3
perf_faults_5,5.0,4
perf_instructions_4,5.0,4
time_2,5.0,4
energy_3,5.0,4
perf_branch_misses_4,5.0,4
perf_branches_1,6.0,5
perf_cache_misses_3,6.0,5
energy_1,6.0,5
perf_cache_references_1,6.0,5
perf_task_clock_5,6.0,5
perf_cycles_3,6.0,5
energy_4,6.0,5
perf_faults_4,6.0,5
energy_2,6.0,5
perf_branch_misses_3,7.0,6
perf_branch_misses_2,7.0,6
perf_branch_misses_1,7.0,6
time_1,7.0,6
perf_cache_misses_5,7.0,6
perf_time_1,7.0,6
perf_cache_references_2,7.0,6
perf_branches_3,8.0,7
perf_branch_misses_5,8.0,7
perf_branches_5,8.0,7
perf_task_clock_1,8.0,7
perf_task_clock_4,8.0,7
perf_task_clock_3,8.0,7
time_4,9.0,8
perf_time_2,9.0,8
perf_instructions_5,9.0,8
perf_cycles_2,9.0,8
perf_branches_4,9.0,8
perf_cpu_clock_5,9.0,8
perf_cpu_clock_4,9.0,8
perf_cache_references_4,9.0,8
perf_task_clock_2,9.0,8
perf_cpu_clock_3,10.0,9
perf_instructions_2,10.0,9
perf_time_4,10.0,9
perf_time_3,10.0,9
perf_branches_2,10.0,9
perf_cycles_1,11.0,10
perf_cycles_4,12.0,11
perf_instructions_3,12.0,11
perf_cpu_clock_2,12.0,11
perf_cycles_5,12.0,11
perf_instructions_1,13.0,12
perf_time_5,14.0,14
