item_name,rank_new_highs,new_highs
weights_5,1.0,0
perf_cpu_clock_4,2.0,1
perf_task_clock_3,3.0,2
perf_task_clock_4,3.0,2
perf_cpu_clock_1,3.0,2
weights_3,3.0,2
weights_4,4.0,3
perf_task_clock_5,4.0,3
perf_branches_3,4.0,3
perf_faults_3,4.0,3
perf_cpu_clock_2,4.0,3
energy_4,4.0,3
weights_1,4.0,3
perf_L1_dcache_loads_3,5.0,4
weights_2,5.0,4
perf_cache_misses_2,5.0,4
perf_branch_misses_1,5.0,4
energy_2,5.0,4
perf_cache_references_2,5.0,4
perf_cache_references_5,6.0,5
perf_cache_references_4,6.0,5
perf_cpu_clock_3,6.0,5
energy_1,6.0,5
perf_instructions_5,6.0,5
perf_task_clock_2,6.0,5
perf_L1_dcache_loads_1,6.0,5
perf_faults_2,6.0,5
time_2,6.0,5
perf_cycles_4,6.0,5
perf_cache_misses_1,7.0,6
perf_instructions_4,7.0,6
perf_time_3,7.0,6
perf_time_2,7.0,6
perf_faults_1,7.0,6
perf_branches_4,7.0,6
perf_cpu_clock_5,7.0,6
perf_task_clock_1,8.0,7
perf_branches_5,8.0,7
perf_L1_dcache_loads_4,8.0,7
perf_L1_dcache_loads_2,8.0,7
perf_time_5,8.0,7
energy_5,8.0,7
perf_branch_misses_3,8.0,7
perf_faults_5,8.0,7
perf_cache_references_3,8.0,7
perf_faults_4,8.0,7
perf_branches_1,8.0,7
perf_branches_2,8.0,7
perf_cycles_1,9.0,8
perf_time_4,9.0,8
time_4,9.0,8
time_3,9.0,8
perf_cache_references_1,9.0,8
perf_instructions_3,9.0,8
energy_3,10.0,9
perf_L1_dcache_loads_5,10.0,9
perf_cache_misses_5,10.0,9
perf_cache_misses_4,10.0,9
perf_instructions_1,10.0,9
perf_time_1,10.0,9
time_5,10.0,9
perf_cycles_5,11.0,10
perf_branch_misses_5,11.0,10
perf_branch_misses_2,12.0,11
perf_cache_misses_3,12.0,11
perf_instructions_2,12.0,11
time_1,12.0,11
perf_branch_misses_4,13.0,12
perf_cycles_3,13.0,12
perf_cycles_2,13.0,12
